订单号,产品类别,产品名称,销售数量,单价,客户所在城市,支付方式,订单日期
258604568,服装,袜子,6,89,上海,支付宝,2025-12-23
856491925,服装,牛仔裤,6,699,广州,银行卡,2025-12-13
269118504,图书,教材,5,79,苏州,微信支付,2025-12-14
339699130,食品,咖啡,9,15,济南,银行卡,2025-12-19
882576281,服装,帽子,5,199,杭州,微信支付,2025-10-23
441682804,图书,传记,1,199,南京,京东白条,2025-12-08
355546183,图书,教材,3,129,苏州,支付宝,2025-11-11
325146786,服装,牛仔裤,8,299,北京,银行卡,2025-10-23
514396801,电子产品,数据线,2,499,北京,支付宝,2025-11-24
686288768,食品,饼干,8,69,长沙,银行卡,2025-11-04
958128631,食品,矿泉水,3,25,青岛,支付宝,2025-10-10
282649071,电子产品,数据线,2,499,广州,银行卡,2025-11-06
618334675,电子产品,智能手表,6,199,济南,京东白条,2025-12-01
208724746,食品,饼干,7,199,南京,支付宝,2025-11-07
419331516,服装,帽子,9,699,西安,银行卡,2025-10-04
158524142,电子产品,鼠标,9,5999,大连,微信支付,2025-11-01
204138894,食品,面包,10,39,大连,微信支付,2025-10-07
942754807,服装,运动鞋,8,59,深圳,银行卡,2025-11-16
498380251,食品,方便面,9,9,长沙,微信支付,2025-11-12
382824466,服装,围巾,5,39,青岛,花呗,2025-10-27
817411121,家居用品,地毯,3,19,深圳,支付宝,2025-11-26
515652006,图书,传记,4,199,福州,支付宝,2025-12-14
184777341,图书,历史书,4,199,大连,银行卡,2025-11-28
258320719,电子产品,智能手表,9,5999,合肥,京东白条,2025-10-25
145822897,食品,饼干,4,15,成都,微信支付,2025-11-03
880720904,食品,坚果,10,15,西安,银行卡,2025-10-03
658010933,食品,薯片,9,69,苏州,银行卡,2025-11-28
545004139,电子产品,钢化膜,9,5999,郑州,支付宝,2025-10-05
937029745,图书,考试资料,2,199,深圳,京东白条,2025-10-26
803072911,家居用品,拖鞋,7,129,西安,花呗,2025-11-19
254460628,图书,历史书,3,15,西安,花呗,2025-12-20
900742774,食品,牛奶,6,69,武汉,支付宝,2025-11-09
627872109,家居用品,床垫,5,129,重庆,银行卡,2025-12-22
389287503,电子产品,耳机,5,299,青岛,银行卡,2025-12-14
895583423,图书,教材,8,45,成都,花呗,2025-11-25
434065879,图书,绘本,9,15,南京,支付宝,2025-12-17
306978174,食品,饼干,10,129,北京,微信支付,2025-10-27
856594938,电子产品,耳机,8,99,上海,银行卡,2025-10-09
359779054,家居用品,毛巾,7,399,深圳,支付宝,2025-11-16
475551835,图书,历史书,8,35,合肥,京东白条,2025-11-06
274920492,家居用品,枕头,1,89,长沙,支付宝,2025-12-25
651131533,服装,外套,4,129,西安,花呗,2025-10-28
340271240,电子产品,键盘,3,299,济南,支付宝,2025-11-20
370581558,家居用品,收纳箱,7,199,天津,花呗,2025-10-15
107889398,家居用品,拖鞋,7,599,合肥,支付宝,2025-12-22
834883010,家居用品,拖鞋,10,599,重庆,银行卡,2025-10-16
804503060,电子产品,数据线,6,499,西安,银行卡,2025-12-21
964823687,家居用品,台灯,9,39,武汉,支付宝,2025-12-13
549431487,家居用品,被子,8,19,重庆,银行卡,2025-11-13
836928463,电子产品,钢化膜,4,5999,苏州,微信支付,2025-12-21
294493146,食品,咖啡,5,129,南京,京东白条,2025-11-04
802693852,食品,饼干,9,39,南京,银行卡,2025-10-08
379773344,家居用品,台灯,7,89,苏州,银行卡,2025-12-10
766422911,食品,面包,1,89,合肥,京东白条,2025-10-16
543570539,服装,西装裤,7,59,厦门,银行卡,2025-10-28
591313587,服装,连衣裙,6,129,郑州,京东白条,2025-10-11
781288086,服装,牛仔裤,6,499,南京,银行卡,2025-10-01
625679392,食品,方便面,3,25,合肥,微信支付,2025-10-05
511582876,图书,传记,7,99,郑州,花呗,2025-10-02
304630191,图书,漫画,1,79,苏州,京东白条,2025-10-22
210282113,电子产品,耳机,6,399,重庆,微信支付,2025-11-17
